Date,ADWIN_AQI,ADWIN_PM25,ADWIN_PM10,PSI_AQI,PSI_PM25,MAPE,Drift_Score
2026-01-30 15:25:17.796647,False,False,False,0.5590114446204533,1.643579944558941,10,1
2026-01-31 05:23:41.381243,False,False,False,0.6187355936193046,1.0834664320988898,10,1
2026-01-31 12:46:22.966784,False,False,False,0.6187355936193045,1.0834664320988898,0,1
2026-01-31 12:50:37.906177,False,False,False,0.6187355936193045,1.0834664320988898,0,1
2026-02-01 05:37:10.184217,False,False,False,1.6967896541734542,0.7363216595704856,0,1
2026-02-01 05:44:30.959842,False,False,False,1.6967896541734542,0.7363216595704856,0,1
2026-02-02 05:47:23.274949,False,False,False,1.6601699112045174,3.7520531832595903,0,1
2026-02-03 05:35:35.186232,False,False,False,1.782340558808775,3.825292669197464,0,1
2026-02-04 05:33:02.243884,False,False,False,1.782340558808775,3.825292669197464,0,1
2026-02-05 05:39:30.646042,False,False,False,1.8336804736002883,3.775157589289505,69.25588087855579,2
2026-02-06 05:36:49.004655,False,False,False,1.8336804736002883,3.775157589289505,53.16095239169265,2
2026-02-07 05:28:17.598477,False,False,False,1.6497906412161438,0.8326655515382736,44.65832570343469,2
2026-02-08 05:47:06.310177,False,False,False,1.5677517871017337,0.5899689696652735,33.960511461891805,2
2026-02-09 05:52:45.231847,False,False,False,1.5677517871017337,0.47754343941605826,24.36306114014574,2
2026-02-10 05:57:05.407807,False,False,False,0.43956264663962535,0.4434886644961923,24.491350995644737,2
2026-02-11 05:52:48.656093,False,False,False,0.43956264663962535,1.1839870216128299,25.93893506275529,2
2026-02-12 05:48:39.869166,False,False,False,0.42997332755717016,0.8246882119444626,15.149035353833778,1
2026-02-13 05:44:51.685248,False,False,False,0.42997332755717016,0.7745531320365038,15.525502933595488,1
2026-02-14 05:31:42.676682,False,False,False,0.40686892152725557,0.42740835950809947,11.642524075030716,1
2026-02-15 05:40:16.069838,False,False,False,0.383764515497341,0.7745531320365038,12.903603537635266,1
2026-02-16 05:51:16.658719,False,False,False,0.383764515497341,0.7745531320365038,11.352004517008908,1
2026-02-17 05:43:07.223018,False,False,False,0.383764515497341,0.7745531320365038,12.628497368223055,1
2026-02-18 05:45:20.671222,False,False,False,0.383764515497341,0.7745531320365038,17.543209367357257,1
2026-02-19 05:43:15.876228,False,False,False,0.383764515497341,0.7745531320365038,22.37051013694321,2
2026-02-20 05:37:55.377558,False,False,False,0.383764515497341,1.902742272498612,22.044632774685972,2
2026-02-21 05:28:33.393881,False,False,False,0.5088763647124945,2.0151678027478273,18.33390882107327,1
2026-02-22 05:35:58.746048,False,False,False,0.5088763647124945,2.0151678027478273,16.76899091518686,1
2026-03-01 04:53:32.655929,False,False,False,1.767840405624082,1.5863036005853062,134.74967369518077,2
