Date,Temp,RH,PM2.5_SubIndex,PM10_SubIndex,SO2_SubIndex,NOx_SubIndex,NH3_SubIndex,CO_SubIndex,O3_SubIndex,AQI,Primary_Pollutant
2024-01-14,27.58,76.52,350.44615384615383,197.38666666666668,2.8249999999999997,14.4125,2.8975,43.0,19.65,350.0,PM2.5
2024-10-31,28.8,78.01,354.60769230769233,158.17333333333335,6.7,21.3125,4.0725,53.0,15.11,355.0,PM2.5
2025-09-29,28.96,95.0,47.266666666666666,419.33750000000003,1.7,8.975,5.6925,26.0,4.1,419.0,PM10
2025-10-20,28.98,95.0,339.88461538461536,190.11333333333332,1.775,22.1,5.035,25.5,4.19,340.0,PM2.5
2026-01-14,28.94,95.0,308.4923076923077,228.32,4.6875,15.5,2.04,64.0,10.74,308.0,PM2.5
